insert_date,origin,destination,start_date,end_date,train_type,price,train_class,fare
2019-04-12T13:29:04Z,MADRID,BARCELONA,2019-04-22T16:30:00Z,2019-04-22T19:15:00Z,AVE,NA,Turista,Flexible
2019-04-23T11:13:48Z,MADRID,PONFERRADA,2019-04-27T12:20:00Z,2019-04-27T18:52:00Z,LD-MD,34.35,Turista con enlace,Promo +
2019-04-12T23:15:10Z,MADRID,BARCELONA,2019-04-23T18:30:00Z,2019-04-23T21:20:00Z,AVE,NA,Turista,Flexible
2019-04-16T13:14:37Z,MADRID,BARCELONA,2019-04-21T17:30:00Z,2019-04-21T20:40:00Z,AVE,98,Preferente,Promo
2019-04-19T04:41:48Z,BARCELONA,MADRID,2019-04-27T06:05:00Z,2019-04-27T09:15:00Z,AVE,85.1,Turista,Promo
2019-04-18T12:11:55Z,MADRID,BARCELONA,2019-04-25T20:30:00Z,2019-04-25T23:40:00Z,AVE,107.7,Turista,Flexible
2019-04-14T00:12:33Z,MADRID,SEVILLA,2019-04-27T09:45:00Z,2019-04-27T12:27:00Z,INTERCITY,62.2,Turista,Flexible
2019-04-23T08:23:50Z,SEVILLA,MADRID,2019-04-30T09:50:00Z,2019-04-30T12:36:00Z,ALVIA,NA,Turista,Promo
2019-04-17T18:30:18Z,MADRID,SEVILLA,2019-04-26T19:00:00Z,2019-04-26T21:38:00Z,AVE,76.3,Turista,Flexible
2019-04-22T17:15:50Z,SEVILLA,MADRID,2019-04-24T14:58:00Z,2019-04-24T17:50:00Z,ALVIA,NA,Turista,Flexible
2019-04-19T05:05:10Z,MADRID,SEVILLA,2019-04-20T11:05:00Z,2019-04-20T13:41:00Z,ALVIA,67.2,Turista,Flexible
2019-04-18T12:44:39Z,MADRID,VALENCIA,2019-04-22T14:10:00Z,2019-04-22T16:03:00Z,AVE,66.55,Preferente,Promo
2019-04-14T21:26:31Z,MADRID,BARCELONA,2019-04-16T07:15:00Z,2019-04-16T16:37:00Z,R. EXPRES,43.25,Turista,Adulto ida
2019-04-17T06:26:25Z,SEVILLA,MADRID,2019-04-30T19:19:00Z,2019-04-30T21:59:00Z,INTERCITY,62.2,Turista,Flexible
2019-04-20T08:36:05Z,SEVILLA,MADRID,2019-04-21T16:45:00Z,2019-04-21T19:17:00Z,AVE,76.3,Turista,Flexible
2019-04-12T00:00:28Z,MADRID,VALENCIA,2019-04-29T12:21:00Z,2019-04-29T19:04:00Z,REGIONAL,28.35,Turista,Adulto ida
2019-04-13T10:18:28Z,SEVILLA,MADRID,2019-04-23T17:45:00Z,2019-04-23T20:17:00Z,AVE,NA,Turista,Flexible
