insert_date,origin,destination,start_date,end_date,train_type,price,train_class,fare
2019-05-08T09:04:07Z,MADRID,BARCELONA,2019-07-05T16:30:00Z,2019-07-05T19:20:00Z,AVE,102.15,Turista Plus,Promo
2019-05-09T21:01:16Z,MADRID,SEVILLA,2019-07-06T12:00:00Z,2019-07-06T14:32:00Z,AVE,53.4,Turista,Promo
2019-05-09T09:43:19Z,MADRID,BARCELONA,2019-07-01T15:30:00Z,2019-07-01T18:40:00Z,AVE,69.8,Turista Plus,Promo
2019-05-09T21:14:08Z,MADRID,BARCELONA,2019-07-05T20:30:00Z,2019-07-05T23:40:00Z,AVE,58.15,Turista,Promo
2019-05-08T19:11:36Z,MADRID,BARCELONA,2019-07-02T18:30:00Z,2019-07-02T21:20:00Z,AVE,85.1,Turista,Promo
2019-05-07T07:47:46Z,BARCELONA,MADRID,2019-07-03T19:00:00Z,2019-07-03T22:00:00Z,AVE,85.1,Turista,Promo
2019-05-09T13:50:14Z,BARCELONA,MADRID,2019-07-04T11:00:00Z,2019-07-04T13:45:00Z,AVE,85.1,Turista,Promo
2019-05-07T03:42:13Z,MADRID,BARCELONA,2019-07-01T17:00:00Z,2019-07-01T19:30:00Z,AVE,88.95,Turista,Promo
