insert_date,origin,destination,start_date,end_date,train_type,price,train_class,fare
2019-05-01T09:13:02Z,MADRID,BARCELONA,2019-05-30T06:30:00Z,2019-05-30T09:20:00Z,AVE,66.75,Turista,Promo
2019-04-14T12:27:52Z,MADRID,SEVILLA,2019-05-17T09:00:00Z,2019-05-17T11:38:00Z,AVE,76.3,Turista,Flexible
2019-04-28T21:27:17Z,PONFERRADA,MADRID,2019-05-21T13:44:00Z,2019-05-21T19:21:00Z,LD,32.9,Turista con enlace,Promo
2019-04-30T19:26:43Z,MADRID,SEVILLA,2019-05-01T07:00:00Z,2019-05-01T09:55:00Z,AV City,NA,Turista,Flexible
2019-04-28T23:32:22Z,VALENCIA,MADRID,2019-05-19T19:15:00Z,2019-05-19T21:01:00Z,AVE,57.75,Turista,Promo
2019-04-19T16:27:43Z,BARCELONA,MADRID,2019-05-29T07:40:00Z,2019-05-29T10:10:00Z,AVE,100.4,Turista,Promo
2019-05-01T07:35:08Z,MADRID,PONFERRADA,2019-05-09T14:40:00Z,2019-05-09T18:33:00Z,AVE-MD,44.7,Turista con enlace,Promo +
2019-04-15T06:35:25Z,VALENCIA,MADRID,2019-05-30T21:05:00Z,2019-05-30T23:32:00Z,INTERCITY,29.9,Turista,Promo
2019-05-05T05:24:29Z,VALENCIA,MADRID,2019-05-29T17:30:00Z,2019-05-29T23:58:00Z,MD-LD,28.1,Turista con enlace,Promo +
2019-04-15T15:32:46Z,VALENCIA,MADRID,2019-05-15T08:40:00Z,2019-05-15T10:20:00Z,AVE,21.95,Turista,Promo
2019-04-25T01:10:56Z,VALENCIA,MADRID,2019-05-24T18:10:00Z,2019-05-24T19:57:00Z,AVE,57.75,Turista,Promo
2019-04-29T03:17:56Z,VALENCIA,MADRID,2019-05-02T18:10:00Z,2019-05-02T19:57:00Z,AVE,73.1,Turista,Flexible
2019-04-26T13:34:15Z,SEVILLA,MADRID,2019-05-18T11:45:00Z,2019-05-18T14:17:00Z,AVE,60.3,Turista,Promo
2019-04-26T01:15:13Z,VALENCIA,MADRID,2019-05-22T07:40:00Z,2019-05-22T09:20:00Z,AVE,57.75,Turista,Promo
2019-05-01T19:23:08Z,MADRID,VALENCIA,2019-05-23T12:40:00Z,2019-05-23T14:20:00Z,AVE,39.45,Turista,Promo
2019-04-17T15:37:41Z,MADRID,SEVILLA,2019-05-04T13:10:00Z,2019-05-04T20:51:00Z,MD-LD,34.35,Turista con enlace,Promo +
2019-04-22T06:13:50Z,VALENCIA,MADRID,2019-05-23T07:10:00Z,2019-05-23T08:51:00Z,AVE,73.1,Turista,Flexible
2019-04-21T16:11:14Z,SEVILLA,MADRID,2019-05-07T11:45:00Z,2019-05-07T14:17:00Z,AVE,76.3,Turista,Flexible
2019-04-23T21:28:09Z,MADRID,VALENCIA,2019-05-03T12:21:00Z,2019-05-03T19:04:00Z,REGIONAL,28.35,Turista,Adulto ida
2019-04-22T08:04:09Z,BARCELONA,MADRID,2019-05-27T06:05:00Z,2019-05-27T09:15:00Z,AVE,75.4,Turista,Promo
2019-04-17T10:40:14Z,MADRID,SEVILLA,2019-05-10T21:25:00Z,2019-05-11T00:10:00Z,AV City,62.2,Turista,Flexible
2019-04-13T14:26:55Z,MADRID,VALENCIA,2019-05-11T10:40:00Z,2019-05-11T12:20:00Z,AVE,33.65,Turista,Promo
2019-04-15T09:27:06Z,MADRID,VALENCIA,2019-05-24T16:55:00Z,2019-05-24T21:58:00Z,AVE-LD,56.1,Turista con enlace,Flexible
2019-04-20T14:45:35Z,MADRID,VALENCIA,2019-05-05T17:48:00Z,2019-05-05T21:58:00Z,INTERCITY,30.05,Turista,Promo
2019-05-08T04:03:59Z,SEVILLA,MADRID,2019-05-31T14:45:00Z,2019-05-31T17:15:00Z,AVE,47.3,Turista,Promo
2019-04-21T11:33:04Z,SEVILLA,MADRID,2019-05-30T09:40:00Z,2019-05-30T12:23:00Z,AVE,76.3,Turista,Flexible
2019-04-27T15:32:51Z,MADRID,VALENCIA,2019-05-05T17:48:00Z,2019-05-05T21:58:00Z,INTERCITY,30.9,Turista Plus,Promo
2019-04-14T04:09:49Z,SEVILLA,MADRID,2019-05-27T07:15:00Z,2019-05-27T09:55:00Z,AVE,76.3,Turista,Flexible
2019-04-21T03:54:40Z,MADRID,VALENCIA,2019-05-26T16:30:00Z,2019-05-26T22:47:00Z,REGIONAL,28.35,Turista,Adulto ida
2019-04-18T06:08:14Z,SEVILLA,MADRID,2019-05-02T09:40:00Z,2019-05-02T12:23:00Z,AVE,53.4,Turista,Promo
2019-04-12T10:18:02Z,MADRID,SEVILLA,2019-05-14T09:00:00Z,2019-05-14T11:38:00Z,AVE,53.4,Turista,Promo
2019-05-01T23:06:48Z,BARCELONA,MADRID,2019-05-17T19:25:00Z,2019-05-17T21:55:00Z,AVE,100.4,Turista,Promo
2019-04-15T05:02:46Z,MADRID,BARCELONA,2019-05-26T14:30:00Z,2019-05-26T17:21:00Z,AVE,NA,Preferente,Promo
2019-05-04T09:46:48Z,MADRID,BARCELONA,2019-05-06T18:30:00Z,2019-05-06T21:20:00Z,AVE,129.3,Turista Plus,Flexible
2019-04-16T03:25:23Z,SEVILLA,MADRID,2019-05-09T18:45:00Z,2019-05-09T21:17:00Z,AVE,53.4,Turista,Promo
2019-04-28T13:40:47Z,PONFERRADA,MADRID,2019-05-14T02:36:00Z,2019-05-14T09:31:00Z,TRENHOTEL,45.8,Turista,Flexible
2019-04-23T14:02:23Z,MADRID,VALENCIA,2019-05-30T14:10:00Z,2019-05-30T16:03:00Z,AVE,33.65,Turista,Promo
2019-04-20T21:11:38Z,MADRID,PONFERRADA,2019-05-04T14:40:00Z,2019-05-04T18:52:00Z,LD,42.75,Turista con enlace,Promo +
